Static,CollectorName,"ADS"
Static,CollectorVersion,"3.1.0"
Static,CollectorInterval,10
Static,SystemName,"nj3p-ddnbads06b"
Static,IP,"127.0.0.1"
Static,OS,"SunOS 5.10 Generic_147148-26"
Static,Description,"ADS System pending request per ADH Server ID"
Static,LiveStandby,1
Static,TimestampFormat,"%d/%m/%Y %H:%M:%S"
Static,Timestamp,"19/08/2025 00:00:06"
HeaderMetric,"Service_5_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_6_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_7_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_8_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_9_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_10_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_11_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_12_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_13_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_14_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_15_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_16_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_17_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_18_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_19_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_0_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_1_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_2_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_3_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_4_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_5_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_6_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_7_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_8_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_9_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_10_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_11_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_12_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_13_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_14_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_15_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_16_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_17_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_18_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_19_PendingOut_Timeout_1s_snap","count","Number","Dynamic","Snapshot"
